tPlunge     logmu     logM     ePlunge     nuPlunge     gamPlunge     phiPlunge     costhetaSky     phiSky     cosLambda     alpPlunge     SMBHspin     costhetaSpin     phiSpin     Zeta     SMBHQuad      SNRI     SNRII     SNR_tot   
20809432.102    -8.75254214791    0.714536461938    0.0646365353936    0.00510105593499    4.51224373055    0.893855787168    -0.546927674873    3.99445167681    0.79335240858    0.648498378732    0.9955    -0.913176587482    4.10419556447    8.62825711433e-23    0.0    14.1756164775    14.2307484543    20.0863711029  
46355882.1928    -8.85317027594    1.93075674859    0.0441169709609    0.00153213484855    3.5655832267    5.15776138043    -0.579918321029    3.08965340118    0.117027542914    6.10706552263    0.9924    0.533880850975    1.8345964872    9.38562901687e-23    0.0    18.0109168575    17.4157594946    25.0539778243  
53814875.6496    -9.57349437096    2.13008513971    0.167838171884    0.00113614070542    5.9893443868    2.22164058368    0.248224463147    6.27936587695    0.254950321701    1.71642567786    0.9979    -0.139523136673    2.06268137407    3.01800311461e-22    0.0    61.0970564099    58.7841310952    84.784576254  
61337313.2322    -9.38746157902    0.343493282483    0.0712574159571    0.00735880634832    0.507897719685    4.22778503924    -0.502780162417    1.71384767499    -0.37389369886    1.83326284536    0.9802    0.158834223666    2.75633444568    1.90741462636e-22    0.0    27.6075045456    24.7382875945    37.0696261155  
61068248.9019    -9.32285691084    0.866082125662    0.130387462329    0.00416459711174    1.92128026628    1.40540080995    -0.744497550137    3.83065587994    -0.754638944356    0.931703741716    0.9726    0.137414542248    1.98641132974    1.68944139219e-22    0.0    25.4050131872    23.1315507292    34.3581625554  
61928027.3009    -9.07040396948    1.51480996153    0.153232051381    0.00213201033101    1.36254293427    2.09557815026    0.178686634953    5.64127819245    0.749956507395    5.12257126838    0.9871    -0.0322223183227    2.79249321858    1.17287338961e-22    0.0    24.155255792    25.9623251249    35.4615102367  
54789782.7858    -9.1106872545    0.699016017185    0.123670202064    0.00495060461514    4.89715042608    5.48322288536    0.0185919030004    5.20225690578    0.401538704658    0.16533638104    0.9809    -0.485851985576    4.55094635361    1.23198711513e-22    0.0    16.2997826783    17.3824460558    23.8292330184  
19264254.6888    -8.9563200514    1.31274894634    0.127967272769    0.0026699685074    4.6039438693    2.90483726997    -0.265525035671    1.86956489731    0.570731425164    2.7537087773    0.9846    0.0944862877783    1.52375309641    1.03508424509e-22    0.0    15.6659403254    14.3489099247    21.2441263013  
19425789.9867    -8.89486423596    1.16282745024    0.0943865106766    0.00318841009513    0.628636919983    5.50685554378    0.267715160596    3.60529952139    0.531437238987    0.418530617336    0.9801    0.802983686798    5.84304145834    9.74947694008e-23    0.0    14.2879802581    14.0767308319    20.0574357975  
36435161.8153    -9.09520364501    1.35830241867    0.0526564050358    0.00270113472964    1.54064155143    2.86284556164    0.118545703352    4.90728527507    -0.213155617546    0.494307991458    0.9868    -0.681140400924    5.69151798702    1.20846245803e-22    0.0    20.5498614011    19.1047805776    28.0586785954  
23456620.6312    -8.70662006164    1.32712473959    0.0547205890527    0.00278292423368    2.84924445471    4.19570325964    -0.570318146729    3.81018164137    -0.132314524874    0.257867788719    0.9764    -0.253782937259    2.77544650831    8.33037494178e-23    0.0    14.4662507465    15.042410847    20.8697516696  
54990597.8236    -9.49480363367    1.32734630341    0.0554974507747    0.0027808883914    5.91755707285    3.7300404805    -0.629036940176    0.564874977487    0.0923644900641    1.70472196176    0.9596    0.170160646369    5.65921031549    2.42509330049e-22    0.0    47.7594676811    52.3110444884    70.8336934563  
62607621.7194    -9.17242986617    0.0277791313996    0.0887003593015    0.00996326070952    1.14113639381    5.25182058557    0.775899004973    3.8773106274    0.304864665287    1.75620838341    0.996    -0.411697019635    5.61100772775    1.33609702521e-22    0.0    14.1460330642    14.2627117837    20.0881855547  
47193030.4478    -8.98996605174    0.779211722301    0.124114690622    0.00456734830391    0.879846696073    5.90166427055    -0.86304083908    2.09585761714    -0.538203133834    2.79128177327    0.98    -0.0859730728706    0.680159543197    1.0718586088e-22    0.0    16.650133746    15.5748399914    22.7991796896  
56716464.7972    -9.09292354229    0.406391258852    0.120340469727    0.00665235835024    4.41130502546    3.40973050946    -0.459605234744    0.953646774908    0.58533755735    2.30791094268    0.9896    -0.0826840888831    1.35312496109    1.20519551033e-22    0.0    13.8994186611    15.6696081415    20.9458935934  
51580654.3139    -9.43416360911    0.949804384769    0.169512214908    0.00369231468183    5.93585919318    3.99559826908    -0.658686463187    2.62822592452    0.210900732565    5.81682230103    0.9913    0.702527117496    6.07286727145    2.10333851229e-22    0.0    27.9081776829    27.3631069244    39.0846005753  
41457986.0945    -9.02331184807    0.60011228959    0.0873555207623    0.00562703362029    5.29715206597    2.17949039666    0.130919103157    5.06406797124    -0.959240913064    5.66276997136    0.9754    -0.164383671363    2.11464374764    1.11127626989e-22    0.0    22.443208997    22.823973922    32.0098643495  
56962340.4593    -9.14876372731    0.50620582612    0.137896033941    0.00592881987186    1.13511260519    3.98101432146    0.735753925604    2.43211029921    0.512588130023    0.0955577126451    0.974    0.188362188869    3.00130063227    1.29405862371e-22    0.0    16.3694789671    16.7393088701    23.4129088988  
50637942.7905    -9.61057573111    1.31703260322    0.14074780869    0.00262851818078    6.16643634978    4.56479704254    0.145933853552    0.231896788171    -0.728550632633    0.00972843753027    0.9695    0.739676631808    1.10923665573    3.4053539743e-22    0.0    75.8383134213    73.5311027511    105.632726247  
50189344.0062    -9.26077427471    1.83031760123    0.113721776227    0.00161056695007    5.39482502359    0.0253643562366    0.991267531334    3.08579169317    0.619335709549    0.701534838482    0.9869    -0.0371915837952    3.75711809185    1.52249966995e-22    0.0    23.6623436748    20.4839080304    31.2969167232  
10576473.8116    -9.17947315422    0.664538635349    0.196332003819    0.00477622132727    0.0745981523629    0.667766280295    -0.365364910826    1.20969266733    -0.438207619855    5.97315369983    0.9841    0.536237088431    1.15171540463    1.3492832552e-22    0.0    17.9369592435    17.9856430051    25.4011389747  
44148417.0384    -9.03328873373    1.56528019081    0.181302877471    0.00197152300895    5.83714177959    1.5168440816    0.277778310018    3.59573307954    -0.50519134795    5.79199235262    0.9798    -0.470099016648    3.43785232323    1.12372998407e-22    0.0    18.5196419616    17.7559368705    25.6563916507  
30411619.6494    -8.98893923597    1.21358505258    0.0682125373538    0.00308926729306    3.96510379873    3.5221601025    -0.349456105366    5.26340538152    -0.975504671348    1.12982842423    0.9779    -0.637856715836    2.26633768257    1.07061936487e-22    0.0    16.2464909759    17.9053804186    24.1774919494  
44195915.7361    -9.25715464203    1.05290037037    0.0676710301114    0.00362913477319    4.38922581578    1.32383821309    0.984038571452    0.259261921025    -0.204745481626    3.27746519968    0.9906    0.342403755425    1.89772314675    1.51384887388e-22    0.0    24.3691368372    24.2116980114    34.3520181472  
