tPlunge     logmu     logM     ePlunge     nuPlunge     gamPlunge     phiPlunge     costhetaSky     phiSky     cosLambda     alpPlunge     SMBHspin     costhetaSpin     phiSpin     Zeta     SMBHQuad      SNRI     SNRII     SNR_tot   
60590974.1685    -9.12519230258    1.4940998878    0.158665095128    0.00216536282338    5.78861619863    1.12010638506    0.947426074535    3.5031575976    0.75718734729    1.32401577994    0.9834    0.0432232224707    3.20100704957    1.25483279073e-22    0.0    16.5472128707    17.9002343175    24.3768054185  
36957872.8777    -9.57349437096    -1.78430951838    0.00169057405369    0.0644377209775    6.0375862338    2.01823772266    0.583492610772    2.99127937904    0.254950321701    0.899467844899    0.9979    0.555036963531    2.40902007114    3.01800311461e-22    0.0    14.4902194672    14.184387149    20.2771620055  
8480647.20301    -9.39929113673    1.25269776196    0.18783647218    0.0026766498859    2.3057374599    1.9773260852    -0.683093932372    4.24022014198    -0.37389369886    3.89854515325    0.9802    -0.984232195614    5.43034425404    1.95352272494e-22    0.0    12.1029858366    16.0930527668    20.136251228  
17306163.3799    -8.95949617575    1.1985882205    0.106529262523    0.00304709903545    5.04399746566    5.08862200385    0.277963869445    4.9406261741    0.582821300749    4.98979407714    0.9794    -0.426216631712    1.41456328005    1.03846134818e-22    0.0    16.1849395952    15.4512215608    22.3761595771  
9051737.5298    -9.33394226989    0.394479748008    0.126916128861    0.00669424729238    3.98140012031    5.16316336603    0.0107083771495    1.84895294378    -0.754638944356    5.94611092913    0.9726    0.0281981430477    5.26580176948    1.7232299266e-22    0.0    18.9987565886    19.1845255679    26.9999772811  
21945677.5661    -9.15080359821    1.66420832507    0.135039671995    0.00186708860935    3.9133519343    5.62438672564    -0.924346767592    1.2870999866    0.968165850844    3.99328741718    0.9791    0.195345642206    4.97163415309    1.29759699788e-22    0.0    15.308118897    16.8024229335    22.7301544342  
42300006.6951    -9.09204796217    2.18394149673    0.15811613427    0.00108684021726    6.22654033168    2.97525383608    -0.464914413722    5.54899442807    0.749956507395    0.210210967902    0.9871    0.739219116939    3.35107831875    1.20380796209e-22    0.0    13.3986669947    15.0206142156    20.1281675433  
57636729.6906    -9.5013713704    1.32077856668    0.130875767226    0.00264188967449    0.564223350102    5.75373722946    -0.0856753533242    0.59125951718    0.0923644900641    2.69040093893    0.9596    -0.382091827644    1.36136253529    2.46582476115e-22    0.0    44.8676009344    47.5755572696    65.3952235498  
25774622.6374    -9.19158111937    1.390178934    0.168329620675    0.00237989334252    5.20796027329    2.39154503257    0.329402630986    0.174046409165    0.304864665287    5.87986757815    0.996    0.451889712078    5.75710237627    1.37235080387e-22    0.0    21.3576005329    20.2911977907    29.4597998687  
34574132.3152    -8.86572375771    1.86132941502    0.142410315474    0.00152288883692    1.36670252373    1.36415166846    0.588258964621    3.24850340918    -0.238968731364    1.15095995725    0.9764    -0.758953706922    4.3290368956    9.49186530659e-23    0.0    19.4027542733    19.8336849435    27.7460255141  
62722965.6282    -9.10970690595    0.528914293324    0.149999162244    0.00573165759832    1.82593599573    1.5584399514    0.527144792781    2.52987617976    0.64053621671    1.94720895951    0.9855    -0.149444556781    2.98607448209    1.23044155468e-22    0.0    20.2232789704    20.7983301309    29.0095078991  
42354486.7408    -9.11506597558    1.76579988136    0.142098507134    0.00167602225111    2.03979285045    5.20422703526    0.952552864174    1.0828176505    0.58533755735    1.8492251641    0.9896    -0.70748099728    5.31559208528    1.2388327439e-22    0.0    16.8377024209    15.7228942319    23.0373094315  
30824571.1911    -8.92347353762    2.20515047533    0.159372981905    0.00106274454538    3.83601425116    1.4093412431    0.308204054439    1.08021657495    -0.728550632633    5.58181397235    0.9745    -0.266845958806    0.820870970178    1.00188810281e-22    0.0    14.0468254846    15.2481958895    20.7321196234  
10007598.4619    -9.0168778152    0.496713013519    0.077131640089    0.00628708183582    3.34112471636    0.0362005367525    0.8356504216    4.06130788033    -0.0604667657174    2.5655987422    0.9852    0.0858009544702    3.01663364001    1.10337586815e-22    0.0    15.3107129442    14.7785935116    21.2796794393  
23077567.4054    -9.23217755482    1.5144475912    0.138536341267    0.00216194156741    1.14372052324    2.47772828876    0.418655213432    0.66980172481    -0.120112967768    4.41960736721    0.9668    -0.594143510956    5.6784290303    1.45659669548e-22    0.0    34.1638740097    34.2928667683    48.4063115569  
34266187.6046    -9.01813692871    1.09850093587    0.195387892242    0.00309784717984    0.395200789682    6.08238947292    -0.701665575645    5.67246803889    0.56670101934    5.2234429629    0.9886    0.223621042905    2.94432180732    1.10496581146e-22    0.0    19.2312332366    19.2979480656    27.2442862146  
